,Crypto-USD,R_square,RMSE
0,BTC-USD,0.9692995286370758,2079.811844699182
1,ETH-USD,0.9269103818482446,156.41798515945183
2,BNB-USD,0.796301487078674,35.67780176381596
3,ADA-USD,0.8782974350053019,0.12155293871144779
4,SOL-USD,-2.131223932731917,49.78000552155251
5,XRP-USD,0.7079521410014669,0.10056798858720749
6,LUNA1-USD,0.7786051164538335,8.351601263436164
7,DOT-USD,0.8917306672381137,0.25092410097027756
8,DOGE-USD,0.7827429811337514,0.02929474410952118
9,AVAX-USD,0.450287010590427,13.080446561177572
